sentence,word,label
"Aaj ka din bohot busy tha, had 3 meetings back to back",Aaj,URD
"Aaj ka din bohot busy tha, had 3 meetings back to back",ka,URD
"Aaj ka din bohot busy tha, had 3 meetings back to back",din,URD
"Aaj ka din bohot busy tha, had 3 meetings back to back",bohot,URD
"Aaj ka din bohot busy tha, had 3 meetings back to back",busy,ENG
"Aaj ka din bohot busy tha, had 3 meetings back to back",tha,URD
"Aaj ka din bohot busy tha, had 3 meetings back to back",had,ENG
"Aaj ka din bohot busy tha, had 3 meetings back to back",3,ENG
"Aaj ka din bohot busy tha, had 3 meetings back to back",meetings,MIX
"Aaj ka din bohot busy tha, had 3 meetings back to back",back,ENG
"Aaj ka din bohot busy tha, had 3 meetings back to back",to,ENG
"Aaj ka din bohot busy tha, had 3 meetings back to back",back,ENG
"Yaar seriously I can not even right now, bohot thak gaya hoon",Yaar,URD
"Yaar seriously I can not even right now, bohot thak gaya hoon",seriously,ENG
"Yaar seriously I can not even right now, bohot thak gaya hoon",I,ENG
"Yaar seriously I can not even right now, bohot thak gaya hoon",can,ENG
"Yaar seriously I can not even right now, bohot thak gaya hoon",not,ENG
"Yaar seriously I can not even right now, bohot thak gaya hoon",even,ENG
"Yaar seriously I can not even right now, bohot thak gaya hoon",right,ENG
"Yaar seriously I can not even right now, bohot thak gaya hoon",now,ENG
"Yaar seriously I can not even right now, bohot thak gaya hoon",bohot,URD
"Yaar seriously I can not even right now, bohot thak gaya hoon",thak,URD
"Yaar seriously I can not even right now, bohot thak gaya hoon",gaya,URD
"Yaar seriously I can not even right now, bohot thak gaya hoon",hoon,URD
"Bhai kal mera presentation hai, still not prepared at all",Bhai,URD
"Bhai kal mera presentation hai, still not prepared at all",kal,URD
"Bhai kal mera presentation hai, still not prepared at all",mera,URD
"Bhai kal mera presentation hai, still not prepared at all",presentation,MIX
"Bhai kal mera presentation hai, still not prepared at all",hai,URD
"Bhai kal mera presentation hai, still not prepared at all",still,ENG
"Bhai kal mera presentation hai, still not prepared at all",not,ENG
"Bhai kal mera presentation hai, still not prepared at all",prepared,ENG
"Bhai kal mera presentation hai, still not prepared at all",at,ENG
"Bhai kal mera presentation hai, still not prepared at all",all,ENG
Khana kha liya? I was literally waiting for you,Khana,URD
Khana kha liya? I was literally waiting for you,kha,URD
Khana kha liya? I was literally waiting for you,liya,URD
Khana kha liya? I was literally waiting for you,I,ENG
Khana kha liya? I was literally waiting for you,was,ENG
Khana kha liya? I was literally waiting for you,literally,ENG
Khana kha liya? I was literally waiting for you,waiting,ENG
Khana kha liya? I was literally waiting for you,for,ENG
Khana kha liya? I was literally waiting for you,you,ENG
Mujhe abhi ek important call attend karni hai,Mujhe,URD
Mujhe abhi ek important call attend karni hai,abhi,URD
Mujhe abhi ek important call attend karni hai,ek,URD
Mujhe abhi ek important call attend karni hai,important,ENG
Mujhe abhi ek important call attend karni hai,call,MIX
Mujhe abhi ek important call attend karni hai,attend,ENG
Mujhe abhi ek important call attend karni hai,karni,URD
Mujhe abhi ek important call attend karni hai,hai,URD
"Honestly speaking, mera mood nahi hai for anything today",Honestly,ENG
"Honestly speaking, mera mood nahi hai for anything today",speaking,ENG
"Honestly speaking, mera mood nahi hai for anything today",mera,URD
"Honestly speaking, mera mood nahi hai for anything today",mood,ENG
"Honestly speaking, mera mood nahi hai for anything today",nahi,URD
"Honestly speaking, mera mood nahi hai for anything today",hai,URD
"Honestly speaking, mera mood nahi hai for anything today",for,ENG
"Honestly speaking, mera mood nahi hai for anything today",anything,ENG
"Honestly speaking, mera mood nahi hai for anything today",today,ENG
"Kal se mera internship start ho raha hai, thora nervous hoon",Kal,URD
